     NODOS    D.PRESCRITOS    F.PRESCRITAS
        81              17              31
    PUNTOS     COORDENADAS
         1      0.0000000000000      0.0000000000000
         2      0.1250000000000      0.0000000000000
         3      0.2500000000000      0.0000000000000
         4      0.3750000000000      0.0000000000000
         5      0.5000000000000      0.0000000000000
         6      0.6250000000000      0.0000000000000
         7      0.7500000000000      0.0000000000000
         8      0.8750000000000      0.0000000000000
         9      1.0000000000000      0.0000000000000
        10      0.0000000000000      0.1250000000000
        11      0.1250000000000      0.1250000000000
        12      0.2500000000000      0.1250000000000
        13      0.3750000000000      0.1250000000000
        14      0.5000000000000      0.1250000000000
        15      0.6250000000000      0.1250000000000
        16      0.7500000000000      0.1250000000000
        17      0.8750000000000      0.1250000000000
        18      1.0000000000000      0.1250000000000
        19      0.0000000000000      0.2500000000000
        20      0.1250000000000      0.2500000000000
        21      0.2500000000000      0.2500000000000
        22      0.3750000000000      0.2500000000000
        23      0.5000000000000      0.2500000000000
        24      0.6250000000000      0.2500000000000
        25      0.7500000000000      0.2500000000000
        26      0.8750000000000      0.2500000000000
        27      1.0000000000000      0.2500000000000
        28      0.0000000000000      0.3750000000000
        29      0.1250000000000      0.3750000000000
        30      0.2500000000000      0.3750000000000
        31      0.3750000000000      0.3750000000000
        32      0.5000000000000      0.3750000000000
        33      0.6250000000000      0.3750000000000
        34      0.7500000000000      0.3750000000000
        35      0.8750000000000      0.3750000000000
        36      1.0000000000000      0.3750000000000
        37      0.0000000000000      0.5000000000000
        38      0.1250000000000      0.5000000000000
        39      0.2500000000000      0.5000000000000
        40      0.3750000000000      0.5000000000000
        41      0.5000000000000      0.5000000000000
        42      0.6250000000000      0.5000000000000
        43      0.7500000000000      0.5000000000000
        44      0.8750000000000      0.5000000000000
        45      1.0000000000000      0.5000000000000
        46      0.0000000000000      0.6250000000000
        47      0.1250000000000      0.6250000000000
        48      0.2500000000000      0.6250000000000
        49      0.3750000000000      0.6250000000000
        50      0.5000000000000      0.6250000000000
        51      0.6250000000000      0.6250000000000
        52      0.7500000000000      0.6250000000000
        53      0.8750000000000      0.6250000000000
        54      1.0000000000000      0.6250000000000
        55      0.0000000000000      0.7500000000000
        56      0.1250000000000      0.7500000000000
        57      0.2500000000000      0.7500000000000
        58      0.3750000000000      0.7500000000000
        59      0.5000000000000      0.7500000000000
        60      0.6250000000000      0.7500000000000
        61      0.7500000000000      0.7500000000000
        62      0.8750000000000      0.7500000000000
        63      1.0000000000000      0.7500000000000
        64      0.0000000000000      0.8750000000000
        65      0.1250000000000      0.8750000000000
        66      0.2500000000000      0.8750000000000
        67      0.3750000000000      0.8750000000000
        68      0.5000000000000      0.8750000000000
        69      0.6250000000000      0.8750000000000
        70      0.7500000000000      0.8750000000000
        71      0.8750000000000      0.8750000000000
        72      1.0000000000000      0.8750000000000
        73      0.0000000000000      1.0000000000000
        74      0.1250000000000      1.0000000000000
        75      0.2500000000000      1.0000000000000
        76      0.3750000000000      1.0000000000000
        77      0.5000000000000      1.0000000000000
        78      0.6250000000000      1.0000000000000
        79      0.7500000000000      1.0000000000000
        80      0.8750000000000      1.0000000000000
        81      1.0000000000000      1.0000000000000
DESPLAZAMIENTO PRESCRITO      
    1     1     1      0.0000000000000     -0.0000000000000
    2     0     1      0.0001250000000     -0.0000000000000
    3     0     1      0.0002500000000     -0.0000000000000
    4     0     1      0.0003750000000     -0.0000000000000
    5     0     1      0.0005000000000     -0.0000000000000
    6     0     1      0.0006250000000     -0.0000000000000
    7     0     1      0.0007500000000     -0.0000000000000
    8     0     1      0.0008750000000     -0.0000000000000
    9     0     1      0.0010000000000     -0.0000000000000
   10     1     0      0.0000000000000     -0.0000375000000
   19     1     0      0.0000000000000     -0.0000750000000
   28     1     0      0.0000000000000     -0.0001125000000
   37     1     0      0.0000000000000     -0.0001500000000
   46     1     0      0.0000000000000     -0.0001875000000
   55     1     0      0.0000000000000     -0.0002250000000
   64     1     0      0.0000000000000     -0.0002625000000
   73     1     0      0.0000000000000     -0.0003000000000
FUERZAS PRESCRITAS            
    2       0.0000000000000e+00       0.0000000000000e+00
    3       0.0000000000000e+00       0.0000000000000e+00
    4       0.0000000000000e+00       0.0000000000000e+00
    5       0.0000000000000e+00       0.0000000000000e+00
    6       0.0000000000000e+00       0.0000000000000e+00
    7       0.0000000000000e+00       0.0000000000000e+00
    8       0.0000000000000e+00       0.0000000000000e+00
    9       7.0710678118655e-01       0.0000000000000e+00
   10      -1.0000000000000e+00       0.0000000000000e+00
   18       1.0000000000000e+00       0.0000000000000e+00
   19      -1.0000000000000e+00       0.0000000000000e+00
   27       1.0000000000000e+00       0.0000000000000e+00
   28      -1.0000000000000e+00       0.0000000000000e+00
   36       1.0000000000000e+00       0.0000000000000e+00
   37      -1.0000000000000e+00       0.0000000000000e+00
   45       1.0000000000000e+00       0.0000000000000e+00
   46      -1.0000000000000e+00       0.0000000000000e+00
   54       1.0000000000000e+00       0.0000000000000e+00
   55      -1.0000000000000e+00       0.0000000000000e+00
   63       1.0000000000000e+00       0.0000000000000e+00
   64      -1.0000000000000e+00       0.0000000000000e+00
   72       1.0000000000000e+00       0.0000000000000e+00
   73      -7.0710678118655e-01       0.0000000000000e+00
   74       0.0000000000000e+00       0.0000000000000e+00
   75       0.0000000000000e+00       0.0000000000000e+00
   76       0.0000000000000e+00       0.0000000000000e+00
   77       0.0000000000000e+00       0.0000000000000e+00
   78       0.0000000000000e+00       0.0000000000000e+00
   79       0.0000000000000e+00       0.0000000000000e+00
   80       0.0000000000000e+00       0.0000000000000e+00
   81       7.0710678118655e-01       0.0000000000000e+00
NORMALES                      
   32
    1     -0.7071067811865     -0.7071067811865
    2     -0.0000000000000     -1.0000000000000
    3     -0.0000000000000     -1.0000000000000
    4     -0.0000000000000     -1.0000000000000
    5     -0.0000000000000     -1.0000000000000
    6     -0.0000000000000     -1.0000000000000
    7     -0.0000000000000     -1.0000000000000
    8     -0.0000000000000     -1.0000000000000
    9      0.7071067811865     -0.7071067811865
   10     -1.0000000000000     -0.0000000000000
   18      1.0000000000000     -0.0000000000000
   19     -1.0000000000000     -0.0000000000000
   27      1.0000000000000     -0.0000000000000
   28     -1.0000000000000     -0.0000000000000
   36      1.0000000000000     -0.0000000000000
   37     -1.0000000000000     -0.0000000000000
   45      1.0000000000000     -0.0000000000000
   46     -1.0000000000000     -0.0000000000000
   54      1.0000000000000     -0.0000000000000
   55     -1.0000000000000     -0.0000000000000
   63      1.0000000000000     -0.0000000000000
   64     -1.0000000000000     -0.0000000000000
   72      1.0000000000000     -0.0000000000000
   73     -0.7071067811865      0.7071067811865
   74     -0.0000000000000      1.0000000000000
   75     -0.0000000000000      1.0000000000000
